obj	zovia_ok	bundle_bytes	zovia_elapsed	pp_loaded	pp_total	whole_full	first_fail	notes
clang-15_-O1_felix_bin_bpf_from_hep_debug_co-re_v6.o	True	21744	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_hep_dsr_no_log_co-re.o	True	220028	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_hep_fib_debug.o	True	138908	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_l3_debug_co-re_v6.o	True	34540	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_l3_fib_no_log.o	True	83884	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_l3_fib_no_log_co-re_v6.o	True	55300	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_l3_fib_no_log_v6.o	True	52596	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_nat_fib_debug.o	True	28792	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_nat_fib_debug_co-re_v6.o	True	15784	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_nat_no_log_co-re_v6.o	True	63700	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_nat_no_log_v6.o	True	61108	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_tnl_debug.o	True	26728	0.0	-	6	True		reused
clang-15_-O1_felix_bin_bpf_from_tnl_debug_co-re.o	True	10056	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_tnl_fib_no_log.o	True	89636	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_tnl_fib_no_log_v6.o	True	25468	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_tnl_no_log_co-re.o	True	61280	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_tnl_no_log_v6.o	True	27156	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_wep_debug_v6.o	True	74976	0.0	-	6	False	calico_tc_skb_accepted_entrypoint	reused
clang-15_-O1_felix_bin_bpf_from_wep_dsr_no_log_co-re_v6.o	True	12756	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_wep_fib_dsr_debug.o	True	25384	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_wep_fib_dsr_no_log.o	True	411760	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_from_wep_fib_dsr_no_log_co-re.o	False	0	0.0	-	-	False		reused
clang-15_-O1_felix_bin_bpf_from_wep_fib_dsr_no_log_co-re_v6.o	True	12932	0.0	-	6	False	calico_tc_main	reused
clang-15_-O1_felix_bin_bpf_to_hep_debug_co-re.o	True	10216	0.0	-	7	False	calico_tc_main	reused
